speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName
Capros aper	accepted name	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Perca brunnich	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Perca pusilla	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Zeus aper	synonym	54	Capros aper	Actinopteri	Acanthuriformes	Caproidae	Capros	Boarfish
Acipenser baerii	accepted name	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baeri stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baerii	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii baikalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baerii stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser baieri	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser stenorrhynchus	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser stenorrhynchus baicalensis	synonym	4683	Acipenser baerii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Siberian sturgeon
Acipenser gueldenstaedtii	accepted name	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser aculeatus	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstadti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstadtii	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti acutirostris	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti golis	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti longirostris	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti scaber	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedti tanaica	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser gueldenstaedtii scobar	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser guldenstadti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser guldenstaedti	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser macrophthalmus	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser medius	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser tuecka	synonym	4712	Acipenser gueldenstaedtii	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Danube sturgeon
Acipenser oxyrinchus	accepted name	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser bairdii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser girardi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser hallowellii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser holbrookii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser kennicottii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser lecontei	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser lichtensteinii	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser macrorhinus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus desotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrhynchus oxyrhynchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus de sotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus desotoi	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser oxyrinchus oxyrinchus	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Sturio accipenser	synonym	2593	Acipenser oxyrinchus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Atlantic sturgeon
Acipenser ruthenus	accepted name	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser dubius	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
Acipenser gmelini	synonym	4604	Acipenser ruthenus	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Sterlet sturgeon
